year,month,consumption_TWh,co2_emission_mt,country_enc,energy_source_enc,country_enc,energy_source_enc
2016,10,3136.6,1316.45,5,0,5,0
2024,3,2439.78,908.07,6,2,6,2
1990,12,4863.57,608.77,6,2,6,2
2024,1,377.35,1669.93,4,0,4,0
2003,6,2745.21,1.28,4,0,4,0
1992,1,4194.7,1383.34,5,1,5,1
1990,3,4433.31,1849.62,3,3,3,3
1994,7,1411.65,1509.78,5,0,5,0
2015,4,4307.05,350.96,4,6,4,6
2003,9,757.55,13.21,2,1,2,1
2016,7,3854.58,259.54,0,2,0,2
1998,5,1941.65,330.74,5,5,5,5
2004,9,3299.25,1455.96,0,5,0,5
2004,3,2745.9,1522.74,2,2,2,2
2015,11,1796.79,232.63,3,4,3,4
2002,8,2474.14,205.89,1,4,1,4
2021,8,3486.12,1147.37,0,1,0,1
2021,4,4127.4,1622.8,7,0,7,0
1993,1,4540.33,1777.0,0,2,0,2
2019,4,1884.65,185.85,4,6,4,6
2012,9,528.39,1398.61,1,2,1,2
2004,10,2915.1,691.83,0,6,0,6
2018,1,928.15,1330.77,7,5,7,5
2002,3,4199.44,776.51,2,4,2,4
2021,8,4117.94,698.32,1,1,1,1
1996,3,1708.62,604.6,1,0,1,0
2011,2,153.91,1089.27,0,0,0,0
2017,1,2912.39,819.47,1,4,1,4
1991,9,4590.27,490.47,1,0,1,0
1995,11,345.79,1555.85,4,1,4,1
2017,10,3283.9,137.02,6,2,6,2
2017,3,4875.18,1553.65,1,6,1,6
2009,7,3871.28,174.79,5,4,5,4
2019,10,3073.24,886.95,2,0,2,0
2000,3,4130.42,1451.64,7,5,7,5
2017,8,875.26,907.46,4,5,4,5
2014,9,4334.03,1764.2,2,2,2,2
2022,12,4790.74,23.69,4,3,4,3
1990,8,4470.87,296.51,2,4,2,4
2016,5,502.69,1045.96,1,4,1,4
2002,11,591.96,1963.56,1,3,1,3
1992,10,4700.52,1494.24,2,1,2,1
1995,12,2969.93,413.84,0,4,0,4
1997,2,1360.29,714.27,0,2,0,2
2016,6,3916.26,453.33,7,2,7,2
1998,8,697.59,1002.1,6,4,6,4
2022,2,1293.44,444.97,4,1,4,1
2013,6,3580.11,1330.17,1,3,1,3
2004,7,175.52,261.1,3,4,3,4
2021,9,1687.67,30.63,3,4,3,4
2021,11,642.18,1039.34,1,5,1,5
2013,9,1527.48,992.72,3,6,3,6
2001,2,4468.45,1602.28,0,1,0,1
1991,1,2499.67,849.89,7,1,7,1
1992,7,425.09,1324.62,6,2,6,2
2006,6,904.72,473.27,2,5,2,5
1991,10,3861.4,104.24,3,1,3,1
1991,10,569.26,1007.71,0,2,0,2
2017,10,2454.29,1765.11,7,4,7,4
2012,12,2119.78,948.78,3,5,3,5
2021,4,1303.19,1974.64,5,1,5,1
2022,11,4657.39,1637.29,7,6,7,6
1990,11,832.56,716.14,7,6,7,6
2008,9,2739.52,1210.44,1,6,1,6
1991,1,2361.79,1107.44,4,1,4,1
2015,7,252.61,486.24,7,3,7,3
2021,5,4145.84,240.83,0,2,0,2
1995,5,2006.07,581.77,0,2,0,2
2021,6,4070.91,145.77,3,5,3,5
1993,2,158.04,873.16,1,1,1,1
2000,11,2079.4,1862.87,4,4,4,4
2006,11,3431.81,1884.57,6,1,6,1
2013,3,4046.97,873.26,7,2,7,2
1994,11,1343.78,88.14,2,5,2,5
2023,9,20.77,1625.51,7,3,7,3
1995,4,2373.21,1101.1,0,2,0,2
2011,6,198.49,1119.06,4,5,4,5
2000,3,4688.72,306.63,1,6,1,6
2005,3,1025.97,254.68,2,4,2,4
2022,9,3385.53,416.83,2,4,2,4
1998,9,2585.49,1952.08,6,3,6,3
1995,3,2987.6,61.23,4,4,4,4
2005,3,4750.35,1716.95,0,4,0,4
2018,6,4085.88,507.92,6,0,6,0
1992,1,3022.44,1104.13,4,2,4,2
2009,5,3045.24,588.78,5,6,5,6
2008,9,1593.7,361.09,1,4,1,4
2015,9,78.18,1714.17,3,0,3,0
1992,8,1069.93,179.23,4,6,4,6
2008,6,1638.35,759.18,3,2,3,2
2009,9,1639.51,830.7,4,0,4,0
2021,3,2125.27,250.24,7,0,7,0
1996,9,1155.01,1415.97,1,1,1,1
2022,8,3847.5,1903.37,7,5,7,5
2007,12,948.98,939.14,6,3,6,3
1990,1,4010.98,1714.62,3,0,3,0
2000,9,2809.81,1814.62,6,4,6,4
2017,8,2302.7,821.92,5,3,5,3
2014,8,1681.0,796.23,2,5,2,5
2012,6,617.92,1036.16,3,0,3,0
2020,9,4024.82,625.18,3,5,3,5
2019,8,2488.58,103.93,1,4,1,4
2024,2,1050.57,1543.23,6,4,6,4
1996,6,4851.83,146.58,7,6,7,6
2005,12,874.1,160.98,7,6,7,6
2015,11,1831.84,1525.51,3,0,3,0
1991,8,1526.06,1209.63,3,0,3,0
1990,6,881.69,834.72,3,0,3,0
2001,11,2963.25,1594.54,0,2,0,2
1994,9,84.97,760.7,6,0,6,0
2021,12,4143.99,1164.79,2,3,2,3
1998,5,3513.77,892.57,6,1,6,1
2024,8,1208.7,740.25,4,0,4,0
2008,10,4152.05,1260.53,2,0,2,0
2005,2,4480.22,1524.7,7,2,7,2
1992,12,3667.91,622.66,3,3,3,3
2009,5,252.28,1863.34,0,6,0,6
2013,1,2317.54,1358.63,6,4,6,4
2022,5,447.06,8.99,2,0,2,0
2013,7,97.88,160.63,4,6,4,6
2000,1,1137.13,1817.09,3,4,3,4
1997,10,4569.79,228.89,7,1,7,1
2009,3,1895.17,1656.35,0,5,0,5
2024,6,4112.89,1901.29,5,6,5,6
2014,12,4409.25,768.21,6,0,6,0
2024,1,1602.47,337.93,3,5,3,5
2014,3,4456.9,841.84,1,1,1,1
2018,8,3054.24,1612.09,2,4,2,4
2007,9,501.13,1706.19,1,0,1,0
2007,7,3719.38,958.92,7,0,7,0
1991,4,2129.71,1612.96,4,3,4,3
2024,7,3041.56,1632.75,4,6,4,6
2005,7,2428.27,228.08,2,3,2,3
2022,11,4899.47,1480.9,5,0,5,0
1993,7,3501.66,1536.11,1,1,1,1
2022,8,1107.86,15.91,2,2,2,2
2003,11,3950.42,198.58,5,1,5,1
2010,4,3407.52,468.45,7,3,7,3
2009,4,2606.96,601.72,1,3,1,3
1997,9,4773.99,139.58,2,2,2,2
1996,8,2386.11,1422.46,0,3,0,3
1992,11,2761.24,1110.01,3,3,3,3
2006,4,3820.99,924.28,0,5,0,5
2022,6,4131.45,1217.48,6,4,6,4
2001,9,3220.06,522.2,2,2,2,2
2011,12,3795.88,1762.46,4,3,4,3
2011,6,3916.55,388.01,6,5,6,5
2019,11,4273.88,1950.07,2,5,2,5
1997,5,3533.2,1951.74,7,1,7,1
2016,12,2922.93,340.17,5,3,5,3
2016,7,1457.45,843.49,7,0,7,0
2023,2,1481.2,557.28,1,2,1,2
2010,8,960.07,1156.1,7,6,7,6
2019,11,1483.14,197.58,6,5,6,5
2022,7,3978.74,206.28,4,5,4,5
2017,6,3522.51,1690.75,1,1,1,1
2022,3,1410.64,1556.8,7,6,7,6
1994,9,1596.97,1022.02,3,5,3,5
2008,2,4901.59,1893.61,7,0,7,0
1993,4,1609.1,1016.07,2,6,2,6
2024,2,1037.82,1011.4,4,0,4,0
2006,6,1948.21,737.14,1,4,1,4
2017,12,3591.0,310.24,4,4,4,4
2019,7,1755.08,766.8,6,1,6,1
2018,9,4160.89,985.96,6,5,6,5
1995,6,2052.72,1523.04,7,2,7,2
2024,6,4961.67,430.16,3,1,3,1
2013,5,757.3,859.66,3,6,3,6
2018,10,60.28,1132.41,2,5,2,5
2020,11,1816.59,932.94,1,0,1,0
2024,12,1261.29,1284.57,7,4,7,4
2022,10,1951.24,493.42,4,0,4,0
2010,4,638.54,1616.6,7,0,7,0
2021,10,3557.71,509.76,3,6,3,6
2012,11,4313.69,1455.38,0,4,0,4
2022,4,3213.8,293.04,4,5,4,5
1992,4,2661.8,568.75,0,6,0,6
2007,5,3734.86,817.81,5,4,5,4
2014,1,129.57,800.07,4,2,4,2
2020,2,3811.3,1144.48,5,0,5,0
1992,3,2652.38,96.95,3,4,3,4
2013,7,2983.74,1643.64,0,1,0,1
2021,1,4635.34,1318.49,5,0,5,0
2011,3,3967.72,749.49,2,5,2,5
2012,7,4581.42,196.27,0,5,0,5
1991,6,2812.5,423.62,1,2,1,2
2016,2,2451.62,1295.74,2,2,2,2
1991,4,1344.88,1163.44,7,5,7,5
2015,1,3340.3,353.31,5,0,5,0
2006,12,1493.57,1813.01,3,3,3,3
2022,5,800.9,1786.78,7,6,7,6
1998,12,3315.8,646.91,7,0,7,0
2018,2,2698.97,1845.38,1,1,1,1
2015,8,1635.35,214.54,0,6,0,6
2024,10,2570.53,502.13,4,2,4,2
2014,6,976.05,1718.62,2,6,2,6
2013,12,2814.84,1476.37,3,4,3,4
2002,12,3405.34,165.84,4,5,4,5
1996,1,2364.54,1644.06,0,4,0,4
2009,2,798.57,1976.55,2,5,2,5
1990,4,3705.52,1154.39,6,5,6,5
1997,3,4720.91,1935.58,2,0,2,0
2005,9,2347.75,127.65,5,4,5,4
2003,1,4888.27,656.69,3,0,3,0
2001,7,311.23,540.71,7,3,7,3
2012,9,4938.97,53.31,3,4,3,4
2004,9,3222.73,697.87,4,5,4,5
2017,6,4761.55,785.28,6,1,6,1
2023,12,913.47,233.11,1,6,1,6
1991,7,2389.34,75.64,3,5,3,5
2021,8,4886.67,1617.45,5,1,5,1
2012,3,1954.4,475.06,2,6,2,6
2011,5,3414.34,281.17,1,2,1,2
2014,4,954.97,103.61,6,4,6,4
2011,9,4282.21,871.86,5,0,5,0
2011,9,1322.13,729.35,4,3,4,3
1995,4,776.64,54.28,6,6,6,6
2004,12,2755.84,300.06,2,1,2,1
2022,2,1239.09,1787.53,3,2,3,2
1997,1,3828.45,534.39,7,0,7,0
1994,3,4194.38,1478.18,4,1,4,1
1993,2,2598.13,1472.92,5,6,5,6
1995,5,110.81,681.78,5,4,5,4
2021,6,1951.84,1483.18,2,6,2,6
2019,9,151.05,365.47,3,2,3,2
2024,4,4496.81,914.0,2,2,2,2
2005,4,1371.76,279.39,4,0,4,0
2002,4,4871.16,512.23,2,2,2,2
2019,1,1489.22,498.5,4,1,4,1
2008,3,2184.36,500.34,3,0,3,0
2006,4,49.46,665.37,5,1,5,1
2008,1,4798.58,1495.86,2,1,2,1
2017,5,2490.78,1437.6,0,5,0,5
2015,10,637.25,1659.88,7,4,7,4
2015,9,4126.13,449.46,7,2,7,2
2012,1,1403.89,736.04,0,4,0,4
1998,12,54.15,1765.81,5,5,5,5
2001,7,3372.65,887.11,3,3,3,3
1990,2,1293.49,1241.0,4,3,4,3
1990,10,4788.2,47.32,5,6,5,6
2023,12,875.57,1768.52,0,6,0,6
2021,11,1406.59,809.19,5,4,5,4
2014,9,2846.96,672.35,0,3,0,3
1990,4,4684.15,1146.75,4,3,4,3
2005,3,1710.37,1562.22,3,5,3,5
1994,12,2357.03,904.26,3,4,3,4
2011,11,480.74,831.89,6,5,6,5
2018,7,492.71,1179.39,7,4,7,4
1992,6,4178.37,1828.69,4,4,4,4
2001,11,1282.57,1378.02,4,3,4,3
2015,10,3468.28,1995.97,4,2,4,2
2005,8,760.81,1040.52,4,5,4,5
2011,9,1536.21,1625.22,3,1,3,1
2018,12,3120.96,168.11,2,1,2,1
2003,7,313.62,1207.83,0,2,0,2
2017,6,1661.49,721.16,0,4,0,4
1994,12,1570.63,419.96,0,0,0,0
2019,8,548.22,128.23,0,0,0,0
1994,9,1821.66,1663.68,7,4,7,4
2001,8,3326.81,62.88,5,1,5,1
2005,6,3999.84,243.78,0,0,0,0
2015,8,1601.65,1580.37,5,2,5,2
2015,9,3072.61,41.86,6,0,6,0
2010,6,396.51,899.48,2,2,2,2
2022,6,3251.07,1176.38,3,0,3,0
2019,2,2524.15,477.83,4,1,4,1
2012,9,2907.39,883.8,5,4,5,4
1999,8,3444.53,60.5,2,6,2,6
1994,5,3988.02,591.46,5,6,5,6
2023,10,138.38,791.04,7,5,7,5
2020,3,341.08,1127.89,7,0,7,0
1999,9,3687.73,1456.67,1,5,1,5
2008,11,3037.3,785.02,0,0,0,0
2021,10,1687.23,1309.39,3,5,3,5
1990,7,3715.35,1411.96,0,6,0,6
1994,9,2716.51,548.73,2,5,2,5
1993,7,2709.21,1885.16,0,6,0,6
2005,12,3290.23,1077.16,5,5,5,5
2013,8,4201.58,647.72,5,4,5,4
2005,10,1337.38,1260.72,7,2,7,2
1991,5,4966.34,876.9,5,5,5,5
2017,10,1839.32,586.3,3,0,3,0
2021,10,2829.37,137.47,0,3,0,3
2016,6,4209.49,1317.96,7,6,7,6
2009,12,2359.36,938.6,0,2,0,2
2013,8,832.51,1065.77,7,2,7,2
2001,7,4998.69,1732.65,6,2,6,2
2024,1,4131.67,231.12,1,5,1,5
2022,10,676.4,709.73,5,5,5,5
2022,4,3183.45,69.61,0,6,0,6
2001,8,1492.39,904.09,3,3,3,3
1992,11,2897.08,628.5,4,3,4,3
1990,9,673.87,23.3,2,1,2,1
2022,6,3769.57,1338.15,6,6,6,6
1999,11,3746.56,1002.08,4,1,4,1
2018,4,1090.91,1762.22,0,1,0,1
2002,2,1937.82,787.76,0,6,0,6
2001,12,2571.24,591.66,2,4,2,4
2020,9,3397.82,124.97,0,5,0,5
1991,1,1768.26,1758.27,0,3,0,3
2024,5,230.07,1533.77,6,4,6,4
2012,8,1372.83,923.92,0,4,0,4
2006,4,2679.87,474.84,7,3,7,3
2015,1,2016.99,777.41,0,3,0,3
1997,4,4920.58,138.01,1,1,1,1
2018,5,1874.32,678.4,0,0,0,0
2015,5,4145.58,6.67,3,5,3,5
1999,12,100.21,764.1,7,4,7,4
2015,1,2249.27,1709.52,4,3,4,3
2023,2,2163.26,1368.74,0,3,0,3
1996,6,4564.89,1509.35,2,6,2,6
1993,10,1377.4,14.48,2,6,2,6
2000,5,2278.33,1761.99,1,5,1,5
2018,9,3268.66,1428.02,0,6,0,6
2014,7,3665.76,636.42,0,1,0,1
2010,5,4875.39,1854.65,0,6,0,6
1999,12,4909.46,1958.76,0,1,0,1
1998,12,2786.21,508.41,4,6,4,6
2013,9,3406.73,181.1,5,4,5,4
2024,1,491.04,1646.88,0,6,0,6
2024,3,4290.18,470.07,3,0,3,0
2007,2,1716.01,299.55,0,0,0,0
2021,12,2789.45,1885.14,2,6,2,6
2013,7,4495.46,1014.15,5,2,5,2
2012,9,662.22,1503.46,4,2,4,2
2021,12,4290.09,1200.48,1,1,1,1
2001,2,793.64,1224.62,2,5,2,5
2002,12,1557.89,1371.82,3,5,3,5
2012,6,3327.06,488.45,7,4,7,4
2014,2,3678.99,1142.77,7,6,7,6
2024,3,3748.03,44.49,1,2,1,2
2019,1,4568.9,622.24,1,4,1,4
2006,6,1457.43,420.3,2,0,2,0
2009,2,3845.51,263.39,5,1,5,1
2014,3,4962.93,408.77,1,4,1,4
2011,6,373.03,1869.29,5,5,5,5
2002,6,1004.29,1087.65,4,0,4,0
2008,4,4572.37,505.16,2,0,2,0
2001,1,1297.96,316.52,7,4,7,4
2008,7,4731.21,1793.34,7,4,7,4
2001,2,2622.98,1440.7,2,2,2,2
1998,6,2703.85,1758.57,7,2,7,2
1996,7,529.06,1853.44,3,6,3,6
2017,2,936.59,1808.01,6,3,6,3
2003,6,4370.15,789.43,1,5,1,5
2020,1,3612.23,550.64,3,0,3,0
2008,6,644.41,961.55,6,3,6,3
2005,8,704.95,687.69,2,2,2,2
1994,8,4572.58,650.62,2,0,2,0
2024,7,3920.42,1127.14,1,4,1,4
2001,4,601.22,1606.41,6,0,6,0
2014,4,2844.87,1231.19,7,4,7,4
2010,5,4916.24,601.64,0,1,0,1
2012,8,2643.23,690.82,0,4,0,4
2005,4,474.79,799.63,2,0,2,0
2003,9,2394.73,170.97,6,6,6,6
2020,3,1474.11,1856.65,1,2,1,2
1994,9,2586.7,303.9,3,4,3,4
2024,2,3717.17,368.07,1,6,1,6
2012,6,2488.9,1282.2,6,3,6,3
2018,5,670.79,530.68,5,1,5,1
2000,5,3812.62,1750.07,6,5,6,5
2007,11,1231.76,1233.67,1,1,1,1
2001,6,74.46,473.17,7,4,7,4
1998,10,741.76,971.84,2,3,2,3
1999,7,3252.25,1049.71,1,3,1,3
2006,4,4715.26,1864.12,5,6,5,6
1996,4,3801.31,1535.5,1,0,1,0
2002,12,1618.1,1806.26,6,6,6,6
1998,9,2079.92,1187.13,4,5,4,5
2016,4,2877.82,1852.63,6,1,6,1
1991,8,344.08,997.39,6,4,6,4
1994,10,4654.41,1985.96,6,3,6,3
2018,1,1787.49,1137.18,0,4,0,4
2008,4,2131.73,1942.6,0,0,0,0
1997,2,301.35,835.89,0,4,0,4
1990,11,769.97,1589.3,5,4,5,4
2011,10,1429.08,103.52,6,5,6,5
2006,5,1245.62,1405.93,5,3,5,3
1996,2,1530.34,874.87,7,5,7,5
2014,7,1580.67,720.27,5,3,5,3
1993,10,3650.11,1366.48,3,3,3,3
1995,7,317.47,986.13,2,2,2,2
2020,9,2083.64,808.63,1,0,1,0
2008,4,639.54,358.99,1,6,1,6
2016,5,3948.59,1780.29,4,6,4,6
1999,3,4959.82,1191.16,7,3,7,3
2015,7,3079.61,231.0,5,2,5,2
2008,5,3156.16,1329.64,5,0,5,0
1992,9,51.13,177.67,5,6,5,6
2002,12,2454.04,628.0,4,5,4,5
2017,7,2716.24,1075.63,1,0,1,0
2009,4,4800.24,833.18,5,1,5,1
2017,7,318.48,1385.77,4,6,4,6
1997,1,554.53,1843.56,0,3,0,3
1990,2,1895.35,1304.81,6,1,6,1
1992,3,2119.8,502.13,2,2,2,2
2002,5,2851.29,782.93,0,6,0,6
2017,12,4758.76,1669.2,6,2,6,2
2014,5,3050.43,251.22,2,2,2,2
2022,7,4200.15,1448.0,1,6,1,6
1995,9,2909.57,1207.26,4,5,4,5
2021,10,2384.01,406.15,6,4,6,4
2010,9,4485.57,879.61,7,0,7,0
2005,6,135.11,617.65,7,4,7,4
2010,7,3193.5,393.55,1,5,1,5
2000,12,4055.81,332.02,3,3,3,3
2024,8,1241.11,1314.91,3,6,3,6
2008,4,288.7,555.98,4,5,4,5
2009,7,533.7,1653.9,1,1,1,1
2007,6,3947.7,991.35,0,4,0,4
2003,8,906.19,459.37,0,2,0,2
2004,1,1052.77,279.09,1,5,1,5
2020,5,2310.19,1576.68,6,1,6,1
1990,12,1374.9,728.39,6,6,6,6
1992,3,4716.04,1086.13,2,5,2,5
2005,9,1766.27,1704.11,7,2,7,2
2012,9,511.9,526.79,7,0,7,0
2000,3,1318.39,392.45,0,2,0,2
2001,10,994.01,1739.39,1,2,1,2
1999,12,1927.94,1703.36,0,0,0,0
2021,2,1322.29,850.54,2,3,2,3
2005,5,4765.36,1651.16,6,3,6,3
1997,4,4521.01,1812.36,0,4,0,4
2001,7,3510.38,628.33,6,0,6,0
2013,12,4545.57,172.83,1,3,1,3
2017,8,3223.05,1196.58,0,5,0,5
1997,4,3859.81,34.38,7,0,7,0
2017,3,4111.03,1080.21,6,1,6,1
2015,9,756.0,733.12,3,6,3,6
1997,8,3258.6,1271.48,4,6,4,6
2017,11,2663.73,486.67,5,3,5,3
2017,11,4321.56,244.16,0,2,0,2
2016,7,3093.31,1999.69,5,4,5,4
2006,11,3298.25,372.78,7,6,7,6
1998,8,2869.26,1891.92,5,5,5,5
2022,8,1359.13,773.58,3,3,3,3
2009,10,2799.16,1028.54,1,5,1,5
2002,8,4905.6,1490.88,2,3,2,3
2017,11,3159.5,1609.25,1,1,1,1
2018,1,4326.17,98.69,4,0,4,0
2002,4,2582.31,869.64,2,6,2,6
2024,10,2160.47,955.14,6,6,6,6
1995,7,1401.75,1219.43,3,5,3,5
2007,6,4892.39,820.35,5,2,5,2
1994,3,4764.11,1544.99,6,6,6,6
2014,3,4342.98,1913.53,5,5,5,5
1991,12,4263.53,985.34,5,2,5,2
1999,4,2419.73,515.47,5,1,5,1
2019,10,3202.89,1325.03,3,0,3,0
1994,6,290.21,1997.5,2,4,2,4
2022,1,166.62,461.83,1,0,1,0
1990,10,1549.68,594.24,1,2,1,2
2007,4,3056.95,1254.09,2,6,2,6
2021,9,3663.66,1454.93,6,4,6,4
2000,7,2011.92,101.33,6,2,6,2
2010,11,3888.88,974.87,3,5,3,5
2015,6,4211.94,377.87,4,3,4,3
2014,11,1690.1,433.46,1,2,1,2
2011,5,4859.79,424.29,3,5,3,5
2016,12,1396.63,692.18,7,1,7,1
2002,2,3014.24,1939.48,2,3,2,3
2022,2,989.82,1205.55,2,0,2,0
2023,6,3348.74,601.47,5,3,5,3
2024,9,219.89,584.87,6,5,6,5
1990,12,3172.6,1972.75,2,0,2,0
2010,9,4816.61,1104.17,1,0,1,0
1995,1,1781.36,1262.09,4,1,4,1
2017,7,4044.62,851.01,2,6,2,6
2006,7,1104.8,1.15,4,4,4,4
1994,10,2928.11,637.99,7,2,7,2
2020,2,868.89,1593.75,6,3,6,3
1994,12,4298.92,425.29,6,1,6,1
1992,10,490.44,1792.12,3,1,3,1
2012,4,3939.04,151.93,7,3,7,3
1999,8,3667.98,1819.74,5,5,5,5
1999,6,4426.91,295.68,2,4,2,4
2008,11,2416.5,1389.06,4,2,4,2
2006,7,4564.5,469.5,4,1,4,1
2010,10,2494.15,18.28,2,0,2,0
2003,11,2264.09,1586.3,7,4,7,4
1998,11,594.19,1245.75,0,2,0,2
1990,6,4440.91,1164.07,7,3,7,3
2002,9,4228.09,162.86,4,1,4,1
1993,11,645.12,804.89,7,2,7,2
1990,12,990.9,407.1,7,1,7,1
2021,10,1672.37,418.73,6,2,6,2
2023,10,1031.0,460.29,7,0,7,0
2017,9,2721.88,1224.41,4,2,4,2
2020,6,819.35,1847.97,1,5,1,5
1997,6,4370.89,46.31,4,0,4,0
2015,9,4293.21,1524.81,5,3,5,3
2023,10,2385.89,825.45,2,4,2,4
1992,9,2764.01,596.36,5,2,5,2
2001,3,1308.14,741.6,6,5,6,5
1990,7,3489.47,1034.69,0,1,0,1
1994,3,3064.48,1331.32,0,3,0,3
2019,4,4589.64,1925.15,0,2,0,2
2019,9,185.51,395.93,7,6,7,6
2006,10,2464.23,1122.42,4,6,4,6
2012,8,3060.85,52.74,5,3,5,3
2004,6,2907.92,1934.65,3,3,3,3
2010,6,4092.34,1426.58,1,3,1,3
2003,8,2690.34,1680.65,4,3,4,3
1991,2,141.97,545.48,7,1,7,1
2000,5,4958.01,1302.09,6,0,6,0
2023,7,3960.2,855.2,1,0,1,0
2023,12,432.21,956.15,5,5,5,5
2007,3,4754.3,194.59,5,1,5,1
2019,8,3203.28,370.07,3,3,3,3
2004,3,1962.81,1073.23,3,1,3,1
2016,4,1043.26,277.05,0,3,0,3
2023,10,4180.52,362.48,0,5,0,5
2022,10,507.93,1369.86,7,3,7,3
2013,6,3438.0,1011.2,3,4,3,4
2004,6,2810.99,1650.51,2,0,2,0
2019,2,4304.15,916.26,1,1,1,1
2006,2,1910.92,160.76,5,2,5,2
1994,3,692.42,161.11,0,5,0,5
2018,3,815.94,1333.07,3,6,3,6
1993,4,3088.67,665.26,2,5,2,5
1999,4,2133.92,1080.94,7,3,7,3
2006,4,1960.97,1189.86,5,2,5,2
1999,10,4090.63,754.27,3,4,3,4
2006,10,820.98,644.18,6,5,6,5
2009,11,3997.92,1734.34,5,0,5,0
2013,3,3304.94,476.62,2,3,2,3
1994,1,4702.6,103.99,2,2,2,2
2023,9,3137.29,1395.38,0,4,0,4
1995,2,1693.04,1452.85,1,0,1,0
1991,3,885.67,125.23,2,2,2,2
2002,2,92.89,465.81,2,1,2,1
2000,6,4612.25,234.73,5,6,5,6
