year,month,country,cpi,inflation_rate
2009,7,Vietnam,194.19,11.85
2019,10,Canada,183.58,4.55
2000,3,USA,60.31,6.31
2017,8,Germany,259.7,11.88
2014,9,Canada,163.29,5.06
2022,12,Germany,142.52,6.58
1990,8,Canada,207.75,1.97
2016,5,UK,174.94,5.17
2002,11,UK,121.88,-1.08
1992,10,Canada,87.04,9.83
1995,12,France,75.34,7.04
1997,2,France,109.13,-1.76
2016,6,USA,267.53,-1.88
1998,8,India,77.46,9.31
2022,2,Germany,253.81,10.98
2013,6,UK,267.05,3.29
2004,7,Japan,256.27,-0.07
2021,9,Japan,265.9,10.08
2021,11,UK,103.76,5.34
2013,9,Japan,298.86,0.47
2001,2,France,185.71,11.81
1991,1,USA,252.66,2.5
1992,7,India,171.31,6.2
2006,6,Canada,97.73,-0.66
1991,10,Japan,261.54,3.76
1991,10,France,172.66,6.42
2017,10,USA,293.07,11.71
2012,12,Japan,252.83,3.98
2021,4,Vietnam,237.62,0.17
2022,11,USA,229.78,5.68
1990,11,USA,202.29,2.89
2008,9,UK,274.31,6.68
1991,1,Germany,205.27,8.97
2015,7,USA,299.0,-1.89
2021,5,France,180.6,2.91
1995,5,France,70.44,3.06
2021,6,Japan,239.36,5.16
1993,2,UK,61.0,8.28
2000,11,Germany,146.43,5.58
2006,11,India,162.36,5.69
2013,3,USA,271.98,6.14
1994,11,Canada,190.27,6.41
2023,9,USA,286.03,-1.23
1995,4,France,110.04,8.04
2011,6,Germany,120.14,-0.07
2000,3,UK,141.3,-0.02
2005,3,Canada,232.46,8.35
2022,9,Canada,220.04,6.69
1998,9,India,101.45,-0.36
1995,3,Germany,150.93,10.6
2005,3,France,137.95,9.22
2018,6,India,239.82,5.53
1992,1,Germany,142.0,5.18
2009,5,Vietnam,238.98,7.44
2008,9,UK,187.09,2.01
2015,9,Japan,285.65,7.71
1992,8,Germany,294.42,9.46
2008,6,Japan,207.38,-0.9
2009,9,Germany,279.91,-0.37
2021,3,USA,230.41,4.11
1996,9,UK,219.47,7.45
2022,8,USA,166.38,2.64
2007,12,India,190.06,3.8
1990,1,Japan,147.36,4.09
2000,9,India,93.74,4.05
2017,8,Vietnam,281.18,8.46
2014,8,Canada,102.97,2.99
2012,6,Japan,185.48,10.59
2020,9,Japan,234.27,1.28
2019,8,UK,255.88,11.05
2024,2,India,138.9,-0.25
1996,6,USA,214.47,5.41
2005,12,USA,160.79,1.07
2015,11,Japan,255.43,9.65
1991,8,Japan,214.29,10.47
1990,6,Japan,61.69,4.23
2001,11,France,202.49,3.18
1994,9,India,225.61,-1.29
2021,12,Canada,277.16,4.39
1998,5,India,62.67,-1.99
2024,8,Germany,199.26,5.68
2008,10,Canada,175.18,10.02
2005,2,USA,210.28,10.27
1992,12,Japan,241.33,3.25
2009,5,France,83.59,6.02
2013,1,India,185.48,2.58
2022,5,Canada,180.15,10.95
2013,7,Germany,178.78,7.08
2000,1,Japan,153.34,4.77
1997,10,USA,262.39,-0.3
2009,3,France,65.83,-0.03
2024,6,Vietnam,146.21,10.0
2014,12,India,197.94,-0.45
2024,1,Japan,277.23,-0.11
2014,3,UK,207.53,1.75
2018,8,Canada,82.79,0.37
2007,9,UK,220.24,9.53
2007,7,USA,134.88,-1.91
1991,4,Germany,196.76,9.87
2024,7,Germany,192.77,3.96
2005,7,Canada,93.09,8.05
2022,11,Vietnam,254.72,3.39
1993,7,UK,185.02,10.83
2022,8,Canada,146.6,1.57
2003,11,Vietnam,101.47,1.09
2010,4,USA,279.01,9.05
2009,4,UK,110.51,-1.87
1997,9,Canada,283.72,-1.18
1996,8,France,185.36,1.67
1992,11,Japan,175.71,9.0
2006,4,France,167.94,0.88
2022,6,India,270.41,6.05
2001,9,Canada,253.5,0.33
2011,12,Germany,219.07,11.06
2011,6,India,180.96,2.27
2019,11,Canada,214.19,-0.68
1997,5,USA,110.8,0.36
2016,12,Vietnam,174.21,5.64
2016,7,USA,85.19,0.57
2023,2,UK,82.07,8.39
2010,8,USA,227.17,2.38
2019,11,India,285.74,0.49
2022,7,Germany,250.63,-0.67
2017,6,UK,284.74,2.01
2022,3,USA,105.47,11.3
1994,9,Japan,115.42,-1.29
2008,2,USA,155.97,11.37
1993,4,Canada,145.79,8.42
2024,2,Germany,124.52,6.19
2006,6,UK,123.1,4.83
2017,12,Germany,278.27,-0.01
2019,7,India,95.23,-1.48
2018,9,India,268.6,6.73
1995,6,USA,177.48,1.34
2024,6,Japan,281.73,5.42
2013,5,Japan,54.46,4.17
2018,10,Canada,105.5,8.64
2020,11,UK,174.73,1.76
2024,12,USA,85.37,-0.24
2022,10,Germany,103.76,6.52
2010,4,USA,168.56,9.74
2021,10,Japan,241.94,10.85
2012,11,France,246.32,10.95
2022,4,Germany,203.89,-1.53
1992,4,France,277.25,0.63
2007,5,Vietnam,207.35,8.5
2014,1,Germany,55.95,7.86
2020,2,Vietnam,179.49,6.14
1992,3,Japan,291.9,3.15
2013,7,France,214.03,2.29
2021,1,Vietnam,222.1,-0.73
2011,3,Canada,78.53,6.21
2012,7,France,139.92,0.98
1991,6,UK,261.59,10.45
2016,2,Canada,77.58,1.14
1991,4,USA,259.81,8.76
2015,1,Vietnam,193.28,2.88
2006,12,Japan,148.47,9.47
2022,5,USA,282.55,8.34
1998,12,USA,57.36,-1.67
2018,2,UK,281.69,7.1
2015,8,France,269.6,5.85
2024,10,Germany,296.71,9.51
2014,6,Canada,154.18,1.26
2013,12,Japan,165.17,8.22
2002,12,Germany,226.33,10.41
1996,1,France,77.56,8.96
2009,2,Canada,110.89,10.9
1990,4,India,160.5,2.29
1997,3,Canada,229.43,3.89
2005,9,Vietnam,174.11,3.49
2003,1,Japan,107.39,2.74
2001,7,USA,122.94,0.11
2012,9,Japan,237.42,-1.76
2004,9,Germany,251.48,1.68
2017,6,India,159.04,11.9
2023,12,UK,98.33,2.12
1991,7,Japan,193.72,9.25
2021,8,Vietnam,150.03,0.09
2012,3,Canada,209.73,5.81
2011,5,UK,256.22,-0.37
2014,4,India,182.01,7.32
2011,9,Vietnam,275.47,-0.44
2011,9,Germany,142.18,2.12
1995,4,India,170.2,-0.16
2004,12,Canada,192.67,3.0
2022,2,Japan,229.73,2.41
1997,1,USA,182.18,1.8
1994,3,Germany,252.78,0.08
1993,2,Vietnam,224.15,5.28
1995,5,Vietnam,137.51,0.82
2021,6,Canada,209.98,9.69
2019,9,Japan,129.18,7.2
2024,4,Canada,229.14,9.98
2005,4,Germany,213.36,10.05
2002,4,Canada,94.33,2.68
2019,1,Germany,225.13,-0.96
2008,3,Japan,82.67,1.56
2006,4,Vietnam,72.99,4.17
2008,1,Canada,210.7,11.19
2017,5,France,133.35,4.34
2015,10,USA,90.18,11.26
2015,9,USA,296.86,8.83
2012,1,France,267.48,4.59
1998,12,Vietnam,94.22,10.15
2001,7,Japan,285.9,10.65
1990,2,Germany,201.51,4.09
1990,10,Vietnam,179.97,9.39
2023,12,France,139.21,10.14
2021,11,Vietnam,130.35,4.03
2014,9,France,75.75,4.62
1990,4,Germany,95.36,1.73
2005,3,Japan,117.27,4.33
1994,12,Japan,234.06,4.84
2011,11,India,289.99,7.01
2018,7,USA,166.38,6.28
1992,6,Germany,142.76,10.53
2001,11,Germany,264.78,7.08
2015,10,Germany,220.19,-0.07
2005,8,Germany,111.2,1.34
2011,9,Japan,184.54,10.83
2018,12,Canada,270.87,-1.14
2003,7,France,215.0,7.77
2017,6,France,143.23,-0.83
1994,12,France,157.06,1.09
2019,8,France,274.65,9.29
1994,9,USA,227.01,3.03
2001,8,Vietnam,177.51,4.72
2005,6,France,219.53,8.96
2015,8,Vietnam,221.36,6.15
2015,9,India,191.83,1.86
2010,6,Canada,206.89,11.31
2022,6,Japan,138.27,4.16
2019,2,Germany,137.42,-0.39
2012,9,Vietnam,134.79,-1.08
1999,8,Canada,59.67,9.42
1994,5,Vietnam,257.04,5.04
2023,10,USA,89.37,5.4
2020,3,USA,73.55,2.08
1999,9,UK,155.72,9.57
2008,11,France,169.84,9.81
2021,10,Japan,115.79,5.61
1990,7,France,289.14,9.28
1994,9,Canada,91.66,8.85
1993,7,France,193.44,1.61
2005,12,Vietnam,202.67,10.57
2013,8,Vietnam,213.87,0.84
2005,10,USA,248.47,6.7
1991,5,Vietnam,266.26,10.99
2017,10,Japan,122.92,1.61
2021,10,France,296.51,5.41
2016,6,USA,153.48,8.37
2009,12,France,246.04,9.72
2013,8,USA,60.23,-0.68
2001,7,India,236.35,-1.84
2024,1,UK,257.61,11.11
2022,10,Vietnam,77.09,5.32
2022,4,France,126.52,7.87
2001,8,Japan,161.94,2.32
1992,11,Germany,240.99,2.14
1990,9,Canada,182.41,6.85
2022,6,India,207.85,0.88
1999,11,Germany,142.17,7.99
2018,4,France,267.45,0.98
2002,2,France,141.61,-1.7
2001,12,Canada,168.58,10.41
2020,9,France,160.53,7.35
1991,1,France,246.4,8.91
2024,5,India,255.25,6.61
2012,8,France,276.46,8.38
2006,4,USA,107.47,0.36
2015,1,France,277.76,-1.4
1997,4,UK,122.45,9.73
2018,5,France,269.51,7.9
2015,5,Japan,264.28,6.93
1999,12,USA,163.69,2.78
2015,1,Germany,249.61,10.71
2023,2,France,235.82,0.0
1996,6,Canada,61.25,8.27
1993,10,Canada,56.55,4.86
2000,5,UK,71.97,11.64
2018,9,France,287.07,4.57
2014,7,France,228.22,0.91
2010,5,France,153.61,6.12
1999,12,France,105.2,9.43
1998,12,Germany,286.95,7.51
2013,9,Vietnam,111.08,-0.02
2024,1,France,185.93,-1.97
2024,3,Japan,110.79,-1.22
2007,2,France,231.69,4.89
2021,12,Canada,93.13,-0.74
2013,7,Vietnam,198.86,-1.89
2012,9,Germany,212.41,4.82
2021,12,UK,290.99,0.07
2001,2,Canada,200.73,1.31
2002,12,Japan,171.26,1.4
2012,6,USA,148.19,0.5
2014,2,USA,76.45,7.85
2024,3,UK,230.49,11.61
2019,1,UK,111.8,-1.67
2006,6,Canada,128.15,0.36
2009,2,Vietnam,52.96,4.75
2014,3,UK,214.75,8.58
2011,6,Vietnam,239.72,-0.71
2002,6,Germany,73.59,9.21
2008,4,Canada,84.26,5.95
2001,1,USA,255.74,6.26
2008,7,USA,233.68,-1.81
2001,2,Canada,80.94,-1.02
1998,6,USA,155.68,11.52
1996,7,Japan,127.94,8.49
2017,2,India,90.97,9.11
2003,6,UK,159.59,0.11
2020,1,Japan,262.99,-1.78
2008,6,India,254.07,6.96
2005,8,Canada,196.53,8.52
1994,8,Canada,189.92,10.97
2024,7,UK,213.66,0.74
2001,4,India,293.83,7.73
2014,4,USA,255.83,-0.53
2010,5,France,103.32,7.35
2012,8,France,166.71,7.27
2005,4,Canada,236.62,3.55
2003,9,India,262.04,6.48
2020,3,UK,71.14,6.59
1994,9,Japan,223.47,1.02
2024,2,UK,88.22,7.17
2012,6,India,76.49,6.81
2018,5,Vietnam,260.88,3.73
2000,5,India,246.65,1.83
2007,11,UK,236.65,7.87
2001,6,USA,56.05,3.58
1998,10,Canada,114.21,7.65
1999,7,UK,157.78,6.22
2006,4,Vietnam,270.01,0.78
1996,4,UK,180.79,11.06
2002,12,India,174.66,5.67
1998,9,Germany,51.15,-0.02
2016,4,India,257.44,4.19
1991,8,India,196.27,1.88
1994,10,India,142.84,-1.13
2018,1,France,90.13,3.5
2008,4,France,154.83,11.84
1997,2,France,109.68,11.47
1990,11,Vietnam,162.55,3.06
2011,10,India,126.62,0.58
2006,5,Vietnam,60.99,0.74
1996,2,USA,298.11,11.45
2014,7,Vietnam,161.96,2.19
1993,10,Japan,253.39,2.8
1995,7,Canada,79.03,5.43
2020,9,UK,202.19,0.88
2008,4,UK,181.23,9.46
2016,5,Germany,288.4,8.0
1999,3,USA,250.9,8.87
2015,7,Vietnam,153.32,4.81
2008,5,Vietnam,248.58,2.32
1992,9,Vietnam,152.01,3.97
2002,12,Germany,240.2,-0.32
2017,7,UK,122.87,6.93
2009,4,Vietnam,143.24,9.22
2017,7,Germany,201.42,5.4
1997,1,France,185.22,3.97
1990,2,India,148.87,9.71
1992,3,Canada,284.41,-1.05
2002,5,France,176.01,0.4
2017,12,India,230.31,4.66
2014,5,Canada,154.24,3.76
2022,7,UK,230.82,10.5
1995,9,Germany,248.09,0.11
2021,10,India,186.77,7.79
2010,9,USA,58.17,6.92
2005,6,USA,176.05,0.08
2010,7,UK,274.72,8.27
2000,12,Japan,70.97,8.36
2024,8,Japan,196.05,5.58
2008,4,Germany,58.55,-0.22
2009,7,UK,171.81,3.48
2007,6,France,222.97,5.34
2003,8,France,145.13,5.89
2004,1,UK,78.49,6.23
2020,5,India,286.85,7.81
1990,12,India,283.27,11.07
1992,3,Canada,248.81,0.54
2005,9,USA,101.92,5.46
2012,9,USA,243.22,7.76
2000,3,France,133.73,4.18
2001,10,UK,202.27,6.99
1999,12,France,161.82,6.11
2021,2,Canada,112.6,9.84
2005,5,India,213.27,8.47
1997,4,France,229.77,3.16
2001,7,India,182.08,0.72
2013,12,UK,90.51,-1.6
2017,8,France,173.63,8.36
1997,4,USA,242.25,8.68
2017,3,India,261.63,10.08
2015,9,Japan,56.74,1.94
1997,8,Germany,96.65,3.8
2017,11,Vietnam,282.52,3.7
2017,11,France,245.43,5.48
2016,7,Vietnam,229.63,7.89
2006,11,USA,84.49,6.14
1998,8,Vietnam,51.09,-1.24
2022,8,Japan,197.2,7.68
2009,10,UK,266.51,6.6
2002,8,Canada,67.81,6.42
2017,11,UK,67.34,11.0
2018,1,Germany,299.64,3.68
2002,4,Canada,109.1,2.92
2024,10,India,216.32,0.51
1995,7,Japan,189.45,2.53
2007,6,Vietnam,153.63,6.83
1994,3,India,250.73,4.86
2014,3,Vietnam,109.47,5.0
1991,12,Vietnam,119.96,-0.43
1999,4,Vietnam,116.6,4.17
2019,10,Japan,186.79,3.02
1994,6,Canada,214.01,7.92
2022,1,UK,73.16,-0.57
1990,10,UK,86.67,8.72
2007,4,Canada,79.55,4.94
2021,9,India,212.85,7.3
2000,7,India,206.36,11.84
2010,11,Japan,257.54,9.19
2015,6,Germany,121.63,4.9
2014,11,UK,233.15,3.28
2011,5,Japan,121.29,10.36
2016,12,USA,237.92,0.11
2002,2,Canada,202.0,1.7
2022,2,Canada,153.49,10.18
2023,6,Vietnam,208.77,1.6
2024,9,India,261.33,0.51
1990,12,Canada,105.48,9.39
2010,9,UK,203.75,4.15
1995,1,Germany,298.33,10.38
2017,7,Canada,249.35,2.32
2006,7,Germany,124.83,6.16
1994,10,USA,246.14,2.29
2020,2,India,173.72,9.68
1994,12,India,245.2,2.52
1992,10,Japan,74.43,2.36
2012,4,USA,263.83,5.6
1999,8,Vietnam,298.61,6.55
1999,6,Canada,160.44,1.2
2008,11,Germany,178.13,-1.81
2006,7,Germany,96.77,0.7
2010,10,Canada,220.89,9.59
2003,11,USA,69.38,10.41
1998,11,France,191.66,7.43
1990,6,USA,154.61,1.7
2002,9,Germany,99.99,0.64
1993,11,USA,256.24,0.59
1990,12,USA,237.78,10.67
2021,10,India,124.93,5.24
2023,10,USA,146.57,5.48
2017,9,Germany,113.15,4.65
2020,6,UK,102.45,7.59
1997,6,Germany,105.34,5.6
2015,9,Vietnam,83.45,6.96
2023,10,Canada,134.74,10.99
1992,9,Vietnam,223.44,8.54
2001,3,India,115.78,1.39
1990,7,France,225.73,2.06
1994,3,France,241.33,9.24
2019,4,France,134.55,5.2
2019,9,USA,64.42,-0.15
2006,10,Germany,229.45,-1.1
2012,8,Vietnam,84.72,0.33
2004,6,Japan,118.49,4.22
2010,6,UK,197.9,-1.4
2003,8,Germany,279.88,-0.7
1991,2,USA,238.8,8.27
2000,5,India,117.31,10.98
2023,7,UK,253.19,-1.25
2023,12,Vietnam,152.45,0.82
2007,3,Vietnam,86.04,-0.37
2019,8,Japan,127.36,6.02
2004,3,Japan,255.45,9.16
2016,4,France,142.74,4.11
2023,10,France,144.99,-1.54
2022,10,USA,294.1,3.27
2013,6,Japan,179.06,0.34
2004,6,Canada,174.2,1.86
2019,2,UK,232.48,-0.43
2006,2,Vietnam,290.42,3.08
1994,3,France,297.33,5.75
2018,3,Japan,245.06,8.97
1993,4,Canada,267.87,3.33
1999,4,USA,276.83,-1.98
2006,4,Vietnam,236.25,7.4
1999,10,Japan,191.11,7.7
2006,10,India,112.52,-0.17
2009,11,Vietnam,232.18,4.8
2013,3,Canada,175.46,-1.29
1994,1,Canada,279.29,6.69
2023,9,France,50.34,10.58
1995,2,UK,280.06,3.75
1991,3,Canada,287.49,4.59
2002,2,Canada,104.87,11.37
2000,6,Vietnam,269.76,8.24
2012,6,Vietnam,197.54,10.62
2005,1,USA,123.35,-0.05
2020,4,USA,218.87,4.59
2000,10,India,249.38,2.39
2005,5,France,155.38,6.69
1997,12,USA,205.3,9.5
1993,6,Germany,100.38,-0.06
1993,5,USA,58.15,8.25
2014,3,Vietnam,283.88,5.91
1992,3,Vietnam,88.56,-0.59
2021,3,Japan,178.44,8.86
1992,6,France,71.3,5.74
2016,4,USA,263.95,2.38
2018,4,UK,242.87,-0.2
2021,3,USA,98.35,1.36
2008,4,UK,253.44,5.72
2010,8,Vietnam,135.32,5.61
1994,3,Canada,259.8,11.03
2007,10,Canada,112.67,1.0
2017,3,India,167.9,0.68
2011,6,Germany,115.38,9.83
2010,1,Japan,217.48,2.96
1995,10,Germany,63.6,3.35
1990,6,Germany,194.76,0.45
1994,11,India,234.36,1.66
2001,9,France,98.85,10.16
2015,3,USA,109.24,-1.38
2023,2,Vietnam,231.42,6.21
2003,3,Germany,153.92,9.14
2015,12,Japan,205.72,10.69
2016,3,UK,156.67,7.04
1998,2,France,154.7,-0.59
2015,11,Vietnam,125.14,5.52
2011,4,Vietnam,196.26,6.44
2019,8,India,199.83,2.94
2006,7,India,238.05,9.07
2015,10,Germany,175.42,5.3
1990,9,Vietnam,190.48,-1.53
1997,8,France,261.89,11.06
2024,7,Vietnam,60.09,7.28
2004,6,USA,179.87,11.27
2011,3,France,81.56,6.57
2003,10,France,221.38,7.44
2015,4,Germany,273.59,0.0
2017,8,UK,156.16,-1.9
2012,12,Canada,208.95,-0.34
2003,2,Germany,142.36,0.9
2013,12,Vietnam,238.97,5.74
1991,6,USA,197.33,1.45
2015,1,India,201.77,4.68
2003,7,Japan,93.35,9.55
1996,4,India,51.71,6.03
1992,12,Canada,206.44,5.85
2012,1,USA,78.06,11.28
2007,5,France,83.37,2.45
2024,5,India,90.92,8.89
2004,6,Vietnam,149.99,10.19
2014,12,Germany,111.18,9.95
2017,8,Germany,288.38,4.09
1999,4,Germany,219.21,5.87
2006,12,France,98.55,3.99
2011,7,Canada,250.97,-0.95
2015,11,France,120.07,10.87
2014,4,Germany,249.95,8.16
2006,2,USA,167.26,9.3
2002,8,UK,169.99,1.25
2009,5,Germany,145.61,6.13
2014,10,India,111.72,0.07
1993,4,USA,221.76,8.7
1999,12,Vietnam,175.84,0.99
1992,2,USA,52.22,5.59
2007,7,Japan,130.39,3.43
2011,5,Germany,241.56,10.64
2023,9,India,123.86,4.42
1997,7,Canada,221.3,2.28
2008,9,UK,100.74,-1.74
1995,12,UK,239.17,6.78
2015,10,Vietnam,156.93,5.07
2023,10,India,51.99,7.42
1995,5,USA,212.41,6.12
2022,11,India,194.07,8.63
2011,6,Japan,192.51,-0.42
2010,8,USA,287.97,-1.56
1995,10,Vietnam,143.47,2.28
1995,6,Japan,275.13,9.97
1993,11,UK,50.57,11.36
2019,4,Vietnam,290.67,1.32
2000,2,France,187.95,2.89
2019,6,Canada,177.41,11.54
2020,12,Canada,272.84,2.38
2013,9,Germany,209.04,6.73
1998,8,Japan,180.39,1.32
1992,3,India,146.08,10.05
2020,5,Germany,214.8,8.07
2013,6,UK,63.28,0.35
2020,7,India,111.96,5.7
1995,2,Japan,75.21,4.38
1991,6,India,176.39,8.78
2009,2,Germany,74.11,8.19
2017,8,India,252.84,7.69
2000,7,Japan,122.83,7.88
1993,2,France,205.61,10.5
2004,4,USA,133.45,8.8
1995,7,Canada,224.86,5.81
2019,9,France,138.42,10.38
1991,3,Vietnam,144.83,2.93
2004,10,UK,170.02,10.24
2000,10,UK,130.89,6.55
1997,8,Germany,92.63,9.45
2015,9,India,159.24,7.87
1994,8,France,215.89,2.01
1995,4,Canada,131.54,11.92
2015,4,India,252.41,1.96
1993,11,Japan,255.19,5.62
2008,7,France,102.16,1.92
2009,4,UK,117.48,4.46
2022,11,UK,50.58,6.6
2009,10,Germany,138.18,1.06
2001,10,France,278.2,5.4
1990,7,France,245.58,9.61
2015,9,UK,290.12,10.36
2003,12,Japan,103.56,2.05
2000,9,Japan,193.08,0.19
2002,9,Canada,141.18,2.55
1992,10,Vietnam,203.97,0.85
2022,12,Vietnam,236.02,8.2
1995,10,UK,73.74,11.45
1999,6,France,71.95,2.46
1994,1,Germany,77.2,2.41
2012,12,Japan,120.2,7.89
1999,8,Vietnam,236.19,7.58
1991,6,France,209.65,4.11
2002,7,Canada,125.08,2.4
1991,2,Germany,264.01,4.73
2009,3,India,232.16,7.84
1990,6,UK,293.21,3.8
1998,3,France,221.41,10.16
2006,5,India,229.3,7.38
1998,4,India,255.84,7.17
2000,5,Canada,281.37,7.8
2004,8,UK,119.34,10.86
2013,4,India,211.48,3.21
2024,9,UK,153.08,4.56
2019,3,Vietnam,107.37,-0.88
2020,12,Canada,98.03,1.91
1994,7,Germany,74.51,2.38
2003,7,India,262.11,11.88
2000,1,India,52.86,3.77
1998,3,Canada,298.68,0.63
2023,10,France,291.17,11.12
2001,1,Japan,182.69,4.17
2024,8,India,235.7,1.72
2024,10,France,164.58,10.22
1990,5,USA,104.89,6.13
2011,4,Vietnam,234.77,6.89
2018,3,India,162.1,1.99
1997,7,France,266.53,7.43
2000,8,India,265.12,9.79
2003,8,Japan,289.58,6.82
2019,1,USA,224.61,8.34
2024,7,Germany,173.1,2.18
2010,5,UK,190.23,11.4
1994,2,India,139.7,8.21
2008,8,Germany,214.85,1.15
2003,2,Vietnam,73.06,1.45
2015,6,France,297.91,11.13
1993,12,Canada,65.79,4.24
2014,5,Germany,200.66,2.62
2014,6,UK,122.66,4.56
2007,11,UK,255.54,3.44
1997,10,Germany,207.48,8.0
2003,8,Canada,201.85,3.15
2021,9,USA,237.14,-1.21
2022,3,Japan,79.52,-1.78
2012,3,Germany,127.93,11.86
2004,7,Vietnam,176.47,7.71
2022,3,Vietnam,129.99,1.34
2014,11,UK,77.54,7.36
2006,10,Japan,127.39,10.43
2022,12,UK,164.6,8.21
1991,5,Canada,86.95,8.0
2003,10,Germany,215.46,7.33
1995,4,France,68.16,8.83
1995,11,Japan,272.9,4.81
1992,9,France,140.72,0.44
1996,11,UK,139.73,1.73
1997,12,UK,102.46,7.26
2004,8,Vietnam,170.48,0.48
2018,12,USA,258.04,1.11
2022,9,Canada,196.69,9.1
2019,6,UK,252.54,5.32
2016,2,Canada,292.2,-1.34
2018,8,India,206.32,5.8
2022,1,Germany,92.16,1.96
2016,11,India,125.69,2.38
2022,5,Germany,215.35,0.37
1993,2,USA,245.5,0.53
2011,7,Germany,213.64,5.28
1991,5,USA,194.74,4.77
1999,10,Vietnam,281.74,4.92
1994,3,Vietnam,174.14,1.28
1999,7,Japan,216.66,6.4
2022,12,Canada,128.09,7.95
2002,3,India,147.21,11.18
2020,6,Vietnam,108.61,10.82
2013,4,Canada,250.06,10.28
2004,12,India,99.79,0.66
2018,10,USA,108.09,10.29
1997,2,India,76.8,1.99
1994,9,India,233.65,2.1
2018,6,France,68.98,3.49
1993,5,Canada,64.91,-1.93
2001,5,USA,206.32,7.53
1991,8,USA,143.88,4.97
2016,5,UK,281.77,6.16
