year,month,country,energy_source,consumption_TWh,co2_emission_mt
2012,11,Brazil,hydro,3756.49,140.85
2013,5,UK,solar,3620.32,1371.76
2024,1,China,oil,2364.81,215.69
2011,9,USA,wind,4775.46,26.17
2016,10,Japan,coal,3136.6,1316.45
2024,3,UK,hydro,2439.78,908.07
1990,12,UK,hydro,4863.57,608.77
2024,1,India,coal,377.35,1669.93
2003,6,India,coal,2745.21,1.28
1992,1,Japan,gas,4194.7,1383.34
1990,3,Germany,nuclear,4433.31,1849.62
1994,7,Japan,coal,1411.65,1509.78
2015,4,India,wind,4307.05,350.96
2003,9,France,gas,757.55,13.21
2016,7,Brazil,hydro,3854.58,259.54
1998,5,Japan,solar,1941.65,330.74
2004,9,Brazil,solar,3299.25,1455.96
2004,3,France,hydro,2745.9,1522.74
2015,11,Germany,oil,1796.79,232.63
2002,8,China,oil,2474.14,205.89
2021,8,Brazil,gas,3486.12,1147.37
2021,4,USA,coal,4127.4,1622.8
1993,1,Brazil,hydro,4540.33,1777.0
2019,4,India,wind,1884.65,185.85
2012,9,China,hydro,528.39,1398.61
2004,10,Brazil,wind,2915.1,691.83
2018,1,USA,solar,928.15,1330.77
2002,3,France,oil,4199.44,776.51
2021,8,China,gas,4117.94,698.32
1996,3,China,coal,1708.62,604.6
2011,2,Brazil,coal,153.91,1089.27
2017,1,China,oil,2912.39,819.47
1991,9,China,coal,4590.27,490.47
1995,11,India,gas,345.79,1555.85
2017,10,UK,hydro,3283.9,137.02
2017,3,China,wind,4875.18,1553.65
2009,7,Japan,oil,3871.28,174.79
2019,10,France,coal,3073.24,886.95
2000,3,USA,solar,4130.42,1451.64
2017,8,India,solar,875.26,907.46
2014,9,France,hydro,4334.03,1764.2
2022,12,India,nuclear,4790.74,23.69
1990,8,France,oil,4470.87,296.51
2016,5,China,oil,502.69,1045.96
2002,11,China,nuclear,591.96,1963.56
1992,10,France,gas,4700.52,1494.24
1995,12,Brazil,oil,2969.93,413.84
1997,2,Brazil,hydro,1360.29,714.27
2016,6,USA,hydro,3916.26,453.33
1998,8,UK,oil,697.59,1002.1
2022,2,India,gas,1293.44,444.97
2013,6,China,nuclear,3580.11,1330.17
2004,7,Germany,oil,175.52,261.1
2021,9,Germany,oil,1687.67,30.63
2021,11,China,solar,642.18,1039.34
2013,9,Germany,wind,1527.48,992.72
2001,2,Brazil,gas,4468.45,1602.28
1991,1,USA,gas,2499.67,849.89
1992,7,UK,hydro,425.09,1324.62
2006,6,France,solar,904.72,473.27
1991,10,Germany,gas,3861.4,104.24
1991,10,Brazil,hydro,569.26,1007.71
2017,10,USA,oil,2454.29,1765.11
2012,12,Germany,solar,2119.78,948.78
2021,4,Japan,gas,1303.19,1974.64
2022,11,USA,wind,4657.39,1637.29
1990,11,USA,wind,832.56,716.14
2008,9,China,wind,2739.52,1210.44
1991,1,India,gas,2361.79,1107.44
2015,7,USA,nuclear,252.61,486.24
2021,5,Brazil,hydro,4145.84,240.83
1995,5,Brazil,hydro,2006.07,581.77
2021,6,Germany,solar,4070.91,145.77
1993,2,China,gas,158.04,873.16
2000,11,India,oil,2079.4,1862.87
2006,11,UK,gas,3431.81,1884.57
2013,3,USA,hydro,4046.97,873.26
1994,11,France,solar,1343.78,88.14
2023,9,USA,nuclear,20.77,1625.51
1995,4,Brazil,hydro,2373.21,1101.1
2011,6,India,solar,198.49,1119.06
2000,3,China,wind,4688.72,306.63
2005,3,France,oil,1025.97,254.68
2022,9,France,oil,3385.53,416.83
1998,9,UK,nuclear,2585.49,1952.08
1995,3,India,oil,2987.6,61.23
2005,3,Brazil,oil,4750.35,1716.95
2018,6,UK,coal,4085.88,507.92
1992,1,India,hydro,3022.44,1104.13
2009,5,Japan,wind,3045.24,588.78
2008,9,China,oil,1593.7,361.09
2015,9,Germany,coal,78.18,1714.17
1992,8,India,wind,1069.93,179.23
2008,6,Germany,hydro,1638.35,759.18
2009,9,India,coal,1639.51,830.7
2021,3,USA,coal,2125.27,250.24
1996,9,China,gas,1155.01,1415.97
2022,8,USA,solar,3847.5,1903.37
2007,12,UK,nuclear,948.98,939.14
1990,1,Germany,coal,4010.98,1714.62
2000,9,UK,oil,2809.81,1814.62
2017,8,Japan,nuclear,2302.7,821.92
2014,8,France,solar,1681.0,796.23
2012,6,Germany,coal,617.92,1036.16
2020,9,Germany,solar,4024.82,625.18
2019,8,China,oil,2488.58,103.93
2024,2,UK,oil,1050.57,1543.23
1996,6,USA,wind,4851.83,146.58
2005,12,USA,wind,874.1,160.98
2015,11,Germany,coal,1831.84,1525.51
1991,8,Germany,coal,1526.06,1209.63
1990,6,Germany,coal,881.69,834.72
2001,11,Brazil,hydro,2963.25,1594.54
1994,9,UK,coal,84.97,760.7
2021,12,France,nuclear,4143.99,1164.79
1998,5,UK,gas,3513.77,892.57
2024,8,India,coal,1208.7,740.25
2008,10,France,coal,4152.05,1260.53
2005,2,USA,hydro,4480.22,1524.7
1992,12,Germany,nuclear,3667.91,622.66
2009,5,Brazil,wind,252.28,1863.34
2013,1,UK,oil,2317.54,1358.63
2022,5,France,coal,447.06,8.99
2013,7,India,wind,97.88,160.63
2000,1,Germany,oil,1137.13,1817.09
1997,10,USA,gas,4569.79,228.89
2009,3,Brazil,solar,1895.17,1656.35
2024,6,Japan,wind,4112.89,1901.29
2014,12,UK,coal,4409.25,768.21
2024,1,Germany,solar,1602.47,337.93
2014,3,China,gas,4456.9,841.84
2018,8,France,oil,3054.24,1612.09
2007,9,China,coal,501.13,1706.19
2007,7,USA,coal,3719.38,958.92
1991,4,India,nuclear,2129.71,1612.96
2024,7,India,wind,3041.56,1632.75
2005,7,France,nuclear,2428.27,228.08
2022,11,Japan,coal,4899.47,1480.9
1993,7,China,gas,3501.66,1536.11
2022,8,France,hydro,1107.86,15.91
2003,11,Japan,gas,3950.42,198.58
2010,4,USA,nuclear,3407.52,468.45
2009,4,China,nuclear,2606.96,601.72
1997,9,France,hydro,4773.99,139.58
1996,8,Brazil,nuclear,2386.11,1422.46
1992,11,Germany,nuclear,2761.24,1110.01
2006,4,Brazil,solar,3820.99,924.28
2022,6,UK,oil,4131.45,1217.48
2001,9,France,hydro,3220.06,522.2
2011,12,India,nuclear,3795.88,1762.46
2011,6,UK,solar,3916.55,388.01
2019,11,France,solar,4273.88,1950.07
1997,5,USA,gas,3533.2,1951.74
2016,12,Japan,nuclear,2922.93,340.17
2016,7,USA,coal,1457.45,843.49
2023,2,China,hydro,1481.2,557.28
2010,8,USA,wind,960.07,1156.1
2019,11,UK,solar,1483.14,197.58
2022,7,India,solar,3978.74,206.28
2017,6,China,gas,3522.51,1690.75
2022,3,USA,wind,1410.64,1556.8
1994,9,Germany,solar,1596.97,1022.02
2008,2,USA,coal,4901.59,1893.61
1993,4,France,wind,1609.1,1016.07
2024,2,India,coal,1037.82,1011.4
2006,6,China,oil,1948.21,737.14
2017,12,India,oil,3591.0,310.24
2019,7,UK,gas,1755.08,766.8
2018,9,UK,solar,4160.89,985.96
1995,6,USA,hydro,2052.72,1523.04
2024,6,Germany,gas,4961.67,430.16
2013,5,Germany,wind,757.3,859.66
2018,10,France,solar,60.28,1132.41
2020,11,China,coal,1816.59,932.94
2024,12,USA,oil,1261.29,1284.57
2022,10,India,coal,1951.24,493.42
2010,4,USA,coal,638.54,1616.6
2021,10,Germany,wind,3557.71,509.76
2012,11,Brazil,oil,4313.69,1455.38
2022,4,India,solar,3213.8,293.04
1992,4,Brazil,wind,2661.8,568.75
2007,5,Japan,oil,3734.86,817.81
2014,1,India,hydro,129.57,800.07
2020,2,Japan,coal,3811.3,1144.48
1992,3,Germany,oil,2652.38,96.95
2013,7,Brazil,gas,2983.74,1643.64
2021,1,Japan,coal,4635.34,1318.49
2011,3,France,solar,3967.72,749.49
2012,7,Brazil,solar,4581.42,196.27
1991,6,China,hydro,2812.5,423.62
2016,2,France,hydro,2451.62,1295.74
1991,4,USA,solar,1344.88,1163.44
2015,1,Japan,coal,3340.3,353.31
2006,12,Germany,nuclear,1493.57,1813.01
2022,5,USA,wind,800.9,1786.78
1998,12,USA,coal,3315.8,646.91
2018,2,China,gas,2698.97,1845.38
2015,8,Brazil,wind,1635.35,214.54
2024,10,India,hydro,2570.53,502.13
2014,6,France,wind,976.05,1718.62
2013,12,Germany,oil,2814.84,1476.37
2002,12,India,solar,3405.34,165.84
1996,1,Brazil,oil,2364.54,1644.06
2009,2,France,solar,798.57,1976.55
1990,4,UK,solar,3705.52,1154.39
1997,3,France,coal,4720.91,1935.58
2005,9,Japan,oil,2347.75,127.65
2003,1,Germany,coal,4888.27,656.69
2001,7,USA,nuclear,311.23,540.71
2012,9,Germany,oil,4938.97,53.31
2004,9,India,solar,3222.73,697.87
2017,6,UK,gas,4761.55,785.28
2023,12,China,wind,913.47,233.11
1991,7,Germany,solar,2389.34,75.64
2021,8,Japan,gas,4886.67,1617.45
2012,3,France,wind,1954.4,475.06
2011,5,China,hydro,3414.34,281.17
2014,4,UK,oil,954.97,103.61
2011,9,Japan,coal,4282.21,871.86
2011,9,India,nuclear,1322.13,729.35
1995,4,UK,wind,776.64,54.28
2004,12,France,gas,2755.84,300.06
2022,2,Germany,hydro,1239.09,1787.53
1997,1,USA,coal,3828.45,534.39
1994,3,India,gas,4194.38,1478.18
1993,2,Japan,wind,2598.13,1472.92
1995,5,Japan,oil,110.81,681.78
2021,6,France,wind,1951.84,1483.18
2019,9,Germany,hydro,151.05,365.47
2024,4,France,hydro,4496.81,914.0
2005,4,India,coal,1371.76,279.39
2002,4,France,hydro,4871.16,512.23
2019,1,India,gas,1489.22,498.5
2008,3,Germany,coal,2184.36,500.34
2006,4,Japan,gas,49.46,665.37
2008,1,France,gas,4798.58,1495.86
2017,5,Brazil,solar,2490.78,1437.6
2015,10,USA,oil,637.25,1659.88
2015,9,USA,hydro,4126.13,449.46
2012,1,Brazil,oil,1403.89,736.04
1998,12,Japan,solar,54.15,1765.81
2001,7,Germany,nuclear,3372.65,887.11
1990,2,India,nuclear,1293.49,1241.0
1990,10,Japan,wind,4788.2,47.32
2023,12,Brazil,wind,875.57,1768.52
2021,11,Japan,oil,1406.59,809.19
2014,9,Brazil,nuclear,2846.96,672.35
1990,4,India,nuclear,4684.15,1146.75
2005,3,Germany,solar,1710.37,1562.22
1994,12,Germany,oil,2357.03,904.26
2011,11,UK,solar,480.74,831.89
2018,7,USA,oil,492.71,1179.39
1992,6,India,oil,4178.37,1828.69
2001,11,India,nuclear,1282.57,1378.02
2015,10,India,hydro,3468.28,1995.97
2005,8,India,solar,760.81,1040.52
2011,9,Germany,gas,1536.21,1625.22
2018,12,France,gas,3120.96,168.11
2003,7,Brazil,hydro,313.62,1207.83
2017,6,Brazil,oil,1661.49,721.16
1994,12,Brazil,coal,1570.63,419.96
2019,8,Brazil,coal,548.22,128.23
1994,9,USA,oil,1821.66,1663.68
2001,8,Japan,gas,3326.81,62.88
2005,6,Brazil,coal,3999.84,243.78
2015,8,Japan,hydro,1601.65,1580.37
2015,9,UK,coal,3072.61,41.86
2010,6,France,hydro,396.51,899.48
2022,6,Germany,coal,3251.07,1176.38
2019,2,India,gas,2524.15,477.83
2012,9,Japan,oil,2907.39,883.8
1999,8,France,wind,3444.53,60.5
1994,5,Japan,wind,3988.02,591.46
2023,10,USA,solar,138.38,791.04
2020,3,USA,coal,341.08,1127.89
1999,9,China,solar,3687.73,1456.67
2008,11,Brazil,coal,3037.3,785.02
2021,10,Germany,solar,1687.23,1309.39
1990,7,Brazil,wind,3715.35,1411.96
1994,9,France,solar,2716.51,548.73
1993,7,Brazil,wind,2709.21,1885.16
2005,12,Japan,solar,3290.23,1077.16
2013,8,Japan,oil,4201.58,647.72
2005,10,USA,hydro,1337.38,1260.72
1991,5,Japan,solar,4966.34,876.9
2017,10,Germany,coal,1839.32,586.3
2021,10,Brazil,nuclear,2829.37,137.47
2016,6,USA,wind,4209.49,1317.96
2009,12,Brazil,hydro,2359.36,938.6
2013,8,USA,hydro,832.51,1065.77
2001,7,UK,hydro,4998.69,1732.65
2024,1,China,solar,4131.67,231.12
2022,10,Japan,solar,676.4,709.73
2022,4,Brazil,wind,3183.45,69.61
2001,8,Germany,nuclear,1492.39,904.09
1992,11,India,nuclear,2897.08,628.5
1990,9,France,gas,673.87,23.3
2022,6,UK,wind,3769.57,1338.15
1999,11,India,gas,3746.56,1002.08
2018,4,Brazil,gas,1090.91,1762.22
2002,2,Brazil,wind,1937.82,787.76
2001,12,France,oil,2571.24,591.66
2020,9,Brazil,solar,3397.82,124.97
1991,1,Brazil,nuclear,1768.26,1758.27
2024,5,UK,oil,230.07,1533.77
2012,8,Brazil,oil,1372.83,923.92
2006,4,USA,nuclear,2679.87,474.84
2015,1,Brazil,nuclear,2016.99,777.41
1997,4,China,gas,4920.58,138.01
2018,5,Brazil,coal,1874.32,678.4
2015,5,Germany,solar,4145.58,6.67
1999,12,USA,oil,100.21,764.1
2015,1,India,nuclear,2249.27,1709.52
2023,2,Brazil,nuclear,2163.26,1368.74
1996,6,France,wind,4564.89,1509.35
1993,10,France,wind,1377.4,14.48
2000,5,China,solar,2278.33,1761.99
2018,9,Brazil,wind,3268.66,1428.02
2014,7,Brazil,gas,3665.76,636.42
2010,5,Brazil,wind,4875.39,1854.65
1999,12,Brazil,gas,4909.46,1958.76
1998,12,India,wind,2786.21,508.41
2013,9,Japan,oil,3406.73,181.1
2024,1,Brazil,wind,491.04,1646.88
2024,3,Germany,coal,4290.18,470.07
2007,2,Brazil,coal,1716.01,299.55
2021,12,France,wind,2789.45,1885.14
2013,7,Japan,hydro,4495.46,1014.15
2012,9,India,hydro,662.22,1503.46
2021,12,China,gas,4290.09,1200.48
2001,2,France,solar,793.64,1224.62
2002,12,Germany,solar,1557.89,1371.82
2012,6,USA,oil,3327.06,488.45
2014,2,USA,wind,3678.99,1142.77
2024,3,China,hydro,3748.03,44.49
2019,1,China,oil,4568.9,622.24
2006,6,France,coal,1457.43,420.3
2009,2,Japan,gas,3845.51,263.39
2014,3,China,oil,4962.93,408.77
2011,6,Japan,solar,373.03,1869.29
2002,6,India,coal,1004.29,1087.65
2008,4,France,coal,4572.37,505.16
2001,1,USA,oil,1297.96,316.52
2008,7,USA,oil,4731.21,1793.34
2001,2,France,hydro,2622.98,1440.7
1998,6,USA,hydro,2703.85,1758.57
1996,7,Germany,wind,529.06,1853.44
2017,2,UK,nuclear,936.59,1808.01
2003,6,China,solar,4370.15,789.43
2020,1,Germany,coal,3612.23,550.64
2008,6,UK,nuclear,644.41,961.55
2005,8,France,hydro,704.95,687.69
1994,8,France,coal,4572.58,650.62
2024,7,China,oil,3920.42,1127.14
2001,4,UK,coal,601.22,1606.41
2014,4,USA,oil,2844.87,1231.19
2010,5,Brazil,gas,4916.24,601.64
2012,8,Brazil,oil,2643.23,690.82
2005,4,France,coal,474.79,799.63
2003,9,UK,wind,2394.73,170.97
2020,3,China,hydro,1474.11,1856.65
1994,9,Germany,oil,2586.7,303.9
2024,2,China,wind,3717.17,368.07
2012,6,UK,nuclear,2488.9,1282.2
2018,5,Japan,gas,670.79,530.68
2000,5,UK,solar,3812.62,1750.07
2007,11,China,gas,1231.76,1233.67
2001,6,USA,oil,74.46,473.17
1998,10,France,nuclear,741.76,971.84
1999,7,China,nuclear,3252.25,1049.71
2006,4,Japan,wind,4715.26,1864.12
1996,4,China,coal,3801.31,1535.5
2002,12,UK,wind,1618.1,1806.26
1998,9,India,solar,2079.92,1187.13
2016,4,UK,gas,2877.82,1852.63
1991,8,UK,oil,344.08,997.39
1994,10,UK,nuclear,4654.41,1985.96
2018,1,Brazil,oil,1787.49,1137.18
2008,4,Brazil,coal,2131.73,1942.6
1997,2,Brazil,oil,301.35,835.89
1990,11,Japan,oil,769.97,1589.3
2011,10,UK,solar,1429.08,103.52
2006,5,Japan,nuclear,1245.62,1405.93
1996,2,USA,solar,1530.34,874.87
2014,7,Japan,nuclear,1580.67,720.27
1993,10,Germany,nuclear,3650.11,1366.48
1995,7,France,hydro,317.47,986.13
2020,9,China,coal,2083.64,808.63
2008,4,China,wind,639.54,358.99
2016,5,India,wind,3948.59,1780.29
1999,3,USA,nuclear,4959.82,1191.16
2015,7,Japan,hydro,3079.61,231.0
2008,5,Japan,coal,3156.16,1329.64
1992,9,Japan,wind,51.13,177.67
2002,12,India,solar,2454.04,628.0
2017,7,China,coal,2716.24,1075.63
2009,4,Japan,gas,4800.24,833.18
2017,7,India,wind,318.48,1385.77
1997,1,Brazil,nuclear,554.53,1843.56
1990,2,UK,gas,1895.35,1304.81
1992,3,France,hydro,2119.8,502.13
2002,5,Brazil,wind,2851.29,782.93
2017,12,UK,hydro,4758.76,1669.2
2014,5,France,hydro,3050.43,251.22
2022,7,China,wind,4200.15,1448.0
1995,9,India,solar,2909.57,1207.26
2021,10,UK,oil,2384.01,406.15
2010,9,USA,coal,4485.57,879.61
2005,6,USA,oil,135.11,617.65
2010,7,China,solar,3193.5,393.55
2000,12,Germany,nuclear,4055.81,332.02
2024,8,Germany,wind,1241.11,1314.91
2008,4,India,solar,288.7,555.98
2009,7,China,gas,533.7,1653.9
2007,6,Brazil,oil,3947.7,991.35
2003,8,Brazil,hydro,906.19,459.37
2004,1,China,solar,1052.77,279.09
2020,5,UK,gas,2310.19,1576.68
1990,12,UK,wind,1374.9,728.39
1992,3,France,solar,4716.04,1086.13
2005,9,USA,hydro,1766.27,1704.11
2012,9,USA,coal,511.9,526.79
2000,3,Brazil,hydro,1318.39,392.45
2001,10,China,hydro,994.01,1739.39
1999,12,Brazil,coal,1927.94,1703.36
2021,2,France,nuclear,1322.29,850.54
2005,5,UK,nuclear,4765.36,1651.16
1997,4,Brazil,oil,4521.01,1812.36
2001,7,UK,coal,3510.38,628.33
2013,12,China,nuclear,4545.57,172.83
2017,8,Brazil,solar,3223.05,1196.58
1997,4,USA,coal,3859.81,34.38
2017,3,UK,gas,4111.03,1080.21
2015,9,Germany,wind,756.0,733.12
1997,8,India,wind,3258.6,1271.48
2017,11,Japan,nuclear,2663.73,486.67
2017,11,Brazil,hydro,4321.56,244.16
2016,7,Japan,oil,3093.31,1999.69
2006,11,USA,wind,3298.25,372.78
1998,8,Japan,solar,2869.26,1891.92
2022,8,Germany,nuclear,1359.13,773.58
2009,10,China,solar,2799.16,1028.54
2002,8,France,nuclear,4905.6,1490.88
2017,11,China,gas,3159.5,1609.25
2018,1,India,coal,4326.17,98.69
2002,4,France,wind,2582.31,869.64
2024,10,UK,wind,2160.47,955.14
1995,7,Germany,solar,1401.75,1219.43
2007,6,Japan,hydro,4892.39,820.35
1994,3,UK,wind,4764.11,1544.99
2014,3,Japan,solar,4342.98,1913.53
1991,12,Japan,hydro,4263.53,985.34
1999,4,Japan,gas,2419.73,515.47
2019,10,Germany,coal,3202.89,1325.03
1994,6,France,oil,290.21,1997.5
2022,1,China,coal,166.62,461.83
1990,10,China,hydro,1549.68,594.24
2007,4,France,wind,3056.95,1254.09
2021,9,UK,oil,3663.66,1454.93
2000,7,UK,hydro,2011.92,101.33
2010,11,Germany,solar,3888.88,974.87
2015,6,India,nuclear,4211.94,377.87
2014,11,China,hydro,1690.1,433.46
2011,5,Germany,solar,4859.79,424.29
2016,12,USA,gas,1396.63,692.18
2002,2,France,nuclear,3014.24,1939.48
2022,2,France,coal,989.82,1205.55
2023,6,Japan,nuclear,3348.74,601.47
2024,9,UK,solar,219.89,584.87
1990,12,France,coal,3172.6,1972.75
2010,9,China,coal,4816.61,1104.17
1995,1,India,gas,1781.36,1262.09
2017,7,France,wind,4044.62,851.01
2006,7,India,oil,1104.8,1.15
1994,10,USA,hydro,2928.11,637.99
2020,2,UK,nuclear,868.89,1593.75
1994,12,UK,gas,4298.92,425.29
1992,10,Germany,gas,490.44,1792.12
2012,4,USA,nuclear,3939.04,151.93
1999,8,Japan,solar,3667.98,1819.74
1999,6,France,oil,4426.91,295.68
2008,11,India,hydro,2416.5,1389.06
2006,7,India,gas,4564.5,469.5
2010,10,France,coal,2494.15,18.28
2003,11,USA,oil,2264.09,1586.3
1998,11,Brazil,hydro,594.19,1245.75
1990,6,USA,nuclear,4440.91,1164.07
2002,9,India,gas,4228.09,162.86
1993,11,USA,hydro,645.12,804.89
1990,12,USA,gas,990.9,407.1
2021,10,UK,hydro,1672.37,418.73
2023,10,USA,coal,1031.0,460.29
2017,9,India,hydro,2721.88,1224.41
2020,6,China,solar,819.35,1847.97
1997,6,India,coal,4370.89,46.31
2015,9,Japan,nuclear,4293.21,1524.81
2023,10,France,oil,2385.89,825.45
1992,9,Japan,hydro,2764.01,596.36
2001,3,UK,solar,1308.14,741.6
1990,7,Brazil,gas,3489.47,1034.69
1994,3,Brazil,nuclear,3064.48,1331.32
2019,4,Brazil,hydro,4589.64,1925.15
2019,9,USA,wind,185.51,395.93
2006,10,India,wind,2464.23,1122.42
2012,8,Japan,nuclear,3060.85,52.74
2004,6,Germany,nuclear,2907.92,1934.65
2010,6,China,nuclear,4092.34,1426.58
2003,8,India,nuclear,2690.34,1680.65
1991,2,USA,gas,141.97,545.48
2000,5,UK,coal,4958.01,1302.09
2023,7,China,coal,3960.2,855.2
2023,12,Japan,solar,432.21,956.15
2007,3,Japan,gas,4754.3,194.59
2019,8,Germany,nuclear,3203.28,370.07
2004,3,Germany,gas,1962.81,1073.23
2016,4,Brazil,nuclear,1043.26,277.05
2023,10,Brazil,solar,4180.52,362.48
2022,10,USA,nuclear,507.93,1369.86
2013,6,Germany,oil,3438.0,1011.2
2004,6,France,coal,2810.99,1650.51
2019,2,China,gas,4304.15,916.26
2006,2,Japan,hydro,1910.92,160.76
1994,3,Brazil,solar,692.42,161.11
2018,3,Germany,wind,815.94,1333.07
1993,4,France,solar,3088.67,665.26
1999,4,USA,nuclear,2133.92,1080.94
2006,4,Japan,hydro,1960.97,1189.86
1999,10,Germany,oil,4090.63,754.27
2006,10,UK,solar,820.98,644.18
2009,11,Japan,coal,3997.92,1734.34
2013,3,France,nuclear,3304.94,476.62
1994,1,France,hydro,4702.6,103.99
2023,9,Brazil,oil,3137.29,1395.38
1995,2,China,coal,1693.04,1452.85
1991,3,France,hydro,885.67,125.23
2002,2,France,gas,92.89,465.81
2000,6,Japan,wind,4612.25,234.73
2012,6,Japan,wind,2379.78,1427.09
2005,1,USA,nuclear,31.73,715.64
2020,4,USA,wind,4600.14,1230.1
2000,10,UK,oil,4961.11,275.49
2005,5,Brazil,hydro,4802.81,615.85
1997,12,USA,wind,419.08,945.73
1993,6,India,gas,1332.33,1360.8
1993,5,USA,wind,715.68,360.06
2014,3,Japan,hydro,593.59,906.12
1992,3,Japan,oil,3532.82,691.88
2021,3,Germany,nuclear,1514.31,498.37
1992,6,Brazil,coal,976.42,444.97
2016,4,USA,solar,3846.44,267.35
2018,4,China,coal,4073.59,751.48
2021,3,USA,wind,4325.4,1946.57
2008,4,China,coal,3922.18,1964.42
2010,8,Japan,oil,3113.25,1740.68
1994,3,France,solar,135.42,871.34
2007,10,France,solar,1535.6,122.76
2017,3,UK,coal,3829.69,1423.75
2011,6,India,nuclear,1235.67,967.49
2010,1,Germany,oil,4637.34,78.53
1995,10,India,hydro,4516.18,1840.93
1990,6,India,solar,3283.68,319.28
1994,11,UK,solar,4390.3,1129.97
2001,9,Brazil,solar,2665.8,834.16
2015,3,USA,hydro,463.28,1399.91
2023,2,Japan,oil,4459.38,1144.48
2003,3,India,nuclear,615.6,115.36
2015,12,Germany,wind,4078.83,961.84
2016,3,China,oil,4596.69,782.17
1998,2,Brazil,oil,2376.01,1208.63
2015,11,Japan,hydro,1636.21,637.87
2011,4,Japan,oil,3620.5,896.67
2019,8,UK,nuclear,1296.31,1078.51
2006,7,UK,coal,311.67,1049.03
2015,10,India,wind,58.39,1378.35
1990,9,Japan,wind,706.51,275.71
1997,8,Brazil,nuclear,3165.55,283.11
2024,7,Japan,nuclear,2869.43,37.39
2004,6,USA,hydro,2944.01,592.81
2011,3,Brazil,solar,1007.55,256.2
2003,10,Brazil,coal,2891.9,154.34
2015,4,India,gas,2850.25,1630.9
2017,8,China,oil,4848.05,541.85
